Beach_Name,Body_Water,Lat_DD,Long_DD,Health_Unit,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bay Beach,Lake Erie,42.86289208,-79.06922519,Niagara,178,72,81,118,116,88,83,148,178,72,81,118,106,116
Lakeside Beach,Lake Ontario,43.20455931,-79.26570134,Niagara,132,77,96,44,97,116,64,158,132,77,96,44,49,97
Long Beach,Lake Erie,42.86458986,-79.38617371,Niagara,118,102,140,123,119,102,92,113,118,102,140,123,166,119
Nickel Beach,Lake Erie,42.87593823,-79.23578951,Niagara,132,78,79,49,99,129,106,140,132,78,79,49,60,99
Queen's Royal Beach,Lake Ontario,43.25786912,-79.06858449,Niagara,194,96,127,97,156,131,122,274,194,96,127,97,141,156
Sherkston Wyldewood Beach,Lake Erie,42.87025694,-79.14603552,Niagara,153,28,105,31,101,99,63,122,153,28,105,31,62,101
Sherkston Elco Beach,Lake Erie,42.86422854,-79.12667358,Niagara,140,50,59,44,100,56,72,117,140,50,59,44,69,100
Wainfleet Lake Erie Public Access Beach,Lake Erie,42.8710855,-79.39974058,Niagara,147,141,124,101,129,111,107,144,147,141,124,101,150,129
Bluffer's Park and Beach,Lake Ontario,43.70620561,-79.23497358,Toronto,105,56,45,72,24,29,45,38,37,18,21,28,23,19
Centre Island Beach,Lake Ontario,43.61659952,-79.37176088,Toronto,58,49,20,66,36,43,79,44,39,28,25,39,28,22
Cherry Beach,Lake Ontario,43.64117526,-79.34162776,Toronto,28,45,21,40,22,35,40,24,38,18,35,29,26,18
Gibraltar Point Beach,Lake Ontario,43.61308895,-79.38368087,Toronto,21,27,9,27,20,22,41,26,25,19,25,23,24,15
Hanlan's Point Beach,Lake Ontario,43.61929789,-79.39124001,Toronto,18,39,13,34,21,28,39,28,27,23,31,29,34,30
Kew Balmy Beach,Lake Ontario,43.66998957,-79.2992926,Toronto,73,43,69,72,58,63,48,43,34,47,67,54,33,76
Marie Curtis Park East Beach,Lake Ontario,43.58676157,-79.54207849,Toronto,108,238,139,238,64,133,171,89,91,83,109,144,98,55
Rouge Beach,Lake Ontario,43.79166885,-79.12139699,Toronto,155,144,80,170,183,80,77,57,39,31,51,81,42,106
Sunnyside Beach,Lake Ontario,43.63770013,-79.45743016,Toronto,97,206,72,117,86,79,166,107,75,71,105,95,122,194
Ward's Island Beach,Lake Ontario,43.62960608,-79.35480796,Toronto,44,51,12,41,28,38,78,33,43,22,30,33,30,21
Woodbine Beach,Lake Ontario,43.66154118,-79.31117943,Toronto,43,29,49,39,18,41,35,26,22,23,28,43,27,45
English Bay Beach,English Bay,49.284851,-123.143297,Vancouver,39,98,63,110,41,49,152,48,104,198,132,101,43,195
Sunset Beach,English Bay,49.279924,-123.140033,Vancouver,98,149,126,100,136,103,40,123,71,58,175,199,168,99
Easy False Creek,English Bay,49.2713,-123.122769,Vancouver,116,43,24,129,106,65,73,71,48,188,122,83,51,56
Jerico Beach,English Bay,49.27214,-123.193197,Vancouver,149,146,102,101,111,29,29,49,34,72,89,156,108,139
Locarno Beach,English Bay,49.27522,-123.207025,Vancouver,51,103,138,82,50,156,51,119,141,69,77,162,168,181
Deep Cove,Indian Arm,49.327707,-122.949664,Vancouver,138,88,100,65,106,49,104,55,42,178,133,177,68,192
North White Pine Beach,Sasamat Lake,49.324714,-122.886891,Vancouver,134,152,24,26,44,116,61,58,175,64,127,149,104,176
Crab Park,Vancouver Harbour,49.285091,-123.102465,Vancouver,37,80,106,139,156,114,109,47,195,80,137,162,96,67
Kitsilano Beach,English Bay,49.275265,-123.153622,Vancouver,23,37,145,70,28,115,35,100,175,164,54,75,134,104
Ambleside Beach,Burrard Inlet,49.322756,-123.149198,Vancouver,75,35,124,74,121,142,141,151,72,51,52,78,53,102
Eagle Harbour,Burrard Inlet,49.35374,-123.27567,Vancouver,22,100,29,63,80,106,84,92,47,134,117,80,88,192
Wreck Beach Breakwater,Burrard Inlet,49.267872,-123.263356,Vancouver,78,78,44,101,148,113,134,103,181,191,42,35,187,54
Wreck Beach Foreshore,Burrard Inlet,49.260143,-123.262626,Vancouver,60,128,155,86,136,154,145,62,190,117,184,158,89,131
Wreck Beach Oasis,Burrard Inlet,49.255773,-123.255928,Vancouver,90,19,140,118,87,58,139,102,115,175,121,57,167,150
Wreck Beach Towers Trail,Burrard Inlet,49.248574,-123.247425,Vancouver,97,36,67,84,106,92,77,111,73,98,92,44,91,54
Gimli Beach,Lake Winnipeg,50.632741,-96.983584,Winnipeg,41,131,102,136,127,126,76,123,188,51,153,125,34,147
Grand Beach East,Lake Winnipeg,50.673477,-96.572162,Winnipeg,76,86,36,107,28,84,111,71,190,181,198,79,124,74
Grand Beach West,Lake Winnipeg,50.672063,-96.585475,Winnipeg,67,96,115,57,94,141,102,102,52,162,57,95,78,111
